Neighborhood,Education Level,Employment Status,Age,Years of Experience,Annual Income,Gender,Household Size
Ashford,Postgraduate,Full-time,78,52,99492,Male,2
Ashford,Technical,Full-time,75,52,37343,Female,7
Kingsley,Bachelors,Part-time,48,0,37106,Male,3
Maplewood,Technical,Retired,44,0,18154,Male,6
Kingsley,Bachelors,Full-time,29,1,69053,Female,7
Ashford,Technical,Full-time,63,18,39801,Male,1
Maplewood,Technical,Full-time,48,29,41139,Male,5
Kingsley,Bachelors,Full-time,49,13,70580,Male,1
Kingsley,None,Full-time,49,7,15214,Female,6
Ashford,None,Part-time,58,37,12400,Male,3
Maplewood,Technical,Part-time,76,11,25875,Female,7
Ashford,None,Part-time,62,25,11289,Male,7
Maplewood,Technical,Full-time,52,26,39253,Female,7
Huntington,Technical,Retired,70,0,23656,Male,4
Rosedale,Postgraduate,Full-time,78,28,101247,Male,5
Rosedale,Bachelors,Full-time,63,14,71177,Male,4
Rosedale,Bachelors,Retired,38,0,37269,Male,2
Ashford,Technical,Full-time,27,4,37372,Female,5
Huntington,Postgraduate,Full-time,33,12,101834,Male,1
Maplewood,Technical,Unemployed,24,0,15783,Male,4
Kingsley,None,Full-time,21,0,21617,Female,6
Maplewood,Bachelors,Part-time,44,10,42150,Male,2
Kingsley,Technical,Full-time,69,27,44075,Male,5
Maplewood,Technical,Part-time,72,2,27102,Female,7
Huntington,Bachelors,Full-time,42,18,69158,Female,6
Kingsley,Postgraduate,Full-time,48,17,102727,Male,2
Ashford,Bachelors,Part-time,28,3,42206,Male,1
Maplewood,Bachelors,Full-time,65,33,65303,Other,7
Maplewood,Postgraduate,Full-time,37,6,95333,Male,6
Kingsley,Technical,Full-time,53,7,39506,Other,5
Ashford,Technical,Full-time,71,18,37331,Male,2
Ashford,Technical,Full-time,71,53,39561,Female,3
Huntington,Bachelors,Full-time,72,46,65079,Male,5
Ashford,Bachelors,Unemployed,80,0,19763,Female,5
Ashford,Postgraduate,Full-time,34,9,100196,Male,7
Ashford,Bachelors,Full-time,62,21,65732,Female,5
Rosedale,Bachelors,Full-time,28,0,68976,Male,7
Huntington,Technical,Full-time,47,5,40659,Male,5
Maplewood,Postgraduate,Unemployed,52,0,26384,Female,3
Kingsley,Postgraduate,Full-time,58,34,97124,Female,6
Maplewood,Postgraduate,Unemployed,55,0,31652,Female,6
Huntington,None,Full-time,39,10,20283,Male,6
Kingsley,Bachelors,Retired,70,0,37176,Female,1
Huntington,None,Part-time,60,2,16390,Male,3
Ashford,Technical,Unemployed,65,0,13605,Other,3
Kingsley,None,Part-time,68,18,12707,Female,2
Ashford,Bachelors,Part-time,44,9,39292,Male,4
Maplewood,Bachelors,Full-time,54,26,73376,Female,6
Maplewood,Technical,Full-time,63,14,35997,Female,4
Kingsley,Technical,Unemployed,66,0,11664,Male,2
Kingsley,Bachelors,Full-time,52,10,67357,Female,3
Huntington,Technical,Full-time,21,2,40491,Male,2
Huntington,Technical,Retired,33,0,16679,Female,5
Ashford,Bachelors,Full-time,33,9,70715,Male,2
Kingsley,Bachelors,Unemployed,38,0,20886,Male,2
Maplewood,None,Retired,43,0,12440,Male,7
Huntington,None,Part-time,74,23,13821,Female,5
Huntington,Technical,Unemployed,53,0,10527,Female,7
Maplewood,Postgraduate,Full-time,36,12,101813,Other,4
Huntington,Bachelors,Full-time,75,31,67745,Male,5
Ashford,Bachelors,Full-time,34,4,69090,Male,1
Kingsley,Technical,Full-time,62,3,41158,Female,2
Maplewood,Bachelors,Retired,43,0,38561,Female,2
Kingsley,None,Unemployed,39,0,8471,Male,7
Huntington,Bachelors,Full-time,72,12,68743,Male,4
Huntington,Postgraduate,Full-time,75,8,104895,Female,7
Maplewood,Bachelors,Unemployed,80,0,23008,Male,3
Ashford,Postgraduate,Full-time,73,48,98324,Female,5
Rosedale,Bachelors,Full-time,45,1,73632,Female,3
Maplewood,Technical,Full-time,18,0,38257,Female,1
Rosedale,Postgraduate,Unemployed,61,0,25226,Female,5
Rosedale,None,Part-time,53,6,9401,Male,1
Ashford,Bachelors,Retired,60,0,34718,Female,1
Rosedale,Technical,Retired,54,0,16024,Female,1
Rosedale,None,Full-time,19,0,20672,Male,6
Ashford,Bachelors,Full-time,34,11,72727,Female,5
Rosedale,Technical,Retired,57,0,20280,Male,5
Rosedale,Bachelors,Full-time,55,20,65870,Female,6
Rosedale,Bachelors,Retired,38,0,33199,Male,4
Maplewood,None,Unemployed,78,0,2745,Female,6
Maplewood,Technical,Part-time,26,2,24270,Male,2
Maplewood,Bachelors,Retired,30,0,38635,Male,3
Ashford,Technical,Retired,28,0,20886,Other,3
Huntington,Bachelors,Retired,78,0,35590,Female,1
Rosedale,Bachelors,Full-time,33,9,72897,Male,5
Rosedale,Postgraduate,Full-time,33,11,103664,Male,5
Ashford,Bachelors,Full-time,76,43,73271,Male,1
Rosedale,Bachelors,Part-time,19,1,42158,Female,2
Maplewood,Bachelors,Full-time,59,33,73431,Female,3
Huntington,Technical,Retired,61,0,15589,Female,6
Kingsley,Technical,Full-time,25,1,44552,Female,4
Rosedale,Bachelors,Part-time,60,24,38884,Female,7
Maplewood,Bachelors,Full-time,79,60,70399,Male,2
Kingsley,Bachelors,Retired,59,0,38503,Male,5
Huntington,Postgraduate,Part-time,30,3,56076,Female,7
Kingsley,Postgraduate,Full-time,74,51,102235,Female,1
Maplewood,Postgraduate,Full-time,34,15,101837,Female,3
Kingsley,Bachelors,Retired,56,0,30033,Female,7
Ashford,Technical,Full-time,41,9,36841,Female,1
Kingsley,Bachelors,Full-time,20,0,69481,Female,5
Rosedale,Technical,Unemployed,47,0,15440,Male,1
Rosedale,Bachelors,Retired,69,0,31134,Male,6
Ashford,Bachelors,Unemployed,30,0,23261,Other,7
Maplewood,Bachelors,Full-time,36,1,70298,Female,7
Rosedale,Technical,Full-time,24,2,42017,Male,3
Huntington,Technical,Unemployed,26,0,14771,Male,1
Rosedale,Bachelors,Part-time,36,18,45567,Male,3
Rosedale,Technical,Retired,62,0,23915,Male,7
Maplewood,Postgraduate,Full-time,71,5,96913,Female,1
Kingsley,Technical,Full-time,57,18,39297,Male,1
Rosedale,Technical,Full-time,39,20,36942,Female,3
Ashford,None,Full-time,35,7,19004,Male,6
Kingsley,Bachelors,Full-time,78,13,66331,Female,1
Huntington,Bachelors,Full-time,40,9,72890,Male,6
Maplewood,Technical,Unemployed,19,0,11588,Female,2
Huntington,None,Full-time,67,2,15337,Female,4
Kingsley,Bachelors,Part-time,67,37,44066,Female,2
Kingsley,Technical,Retired,28,0,22813,Male,4
Kingsley,Bachelors,Part-time,48,28,45983,Male,2
Huntington,Bachelors,Full-time,50,14,68611,Male,4
Kingsley,Technical,Retired,31,0,18700,Male,1
Huntington,Technical,Part-time,33,6,28708,Female,3
Kingsley,Postgraduate,Retired,28,0,51118,Female,3
Ashford,Bachelors,Retired,50,0,37105,Female,5
Kingsley,Bachelors,Unemployed,79,0,18673,Female,4
Huntington,Technical,Part-time,24,6,21122,Male,5
Rosedale,Bachelors,Full-time,48,17,72082,Male,6
Kingsley,None,Part-time,78,45,15250,Male,6
Rosedale,Bachelors,Full-time,65,18,67062,Female,5
Ashford,Postgraduate,Unemployed,79,0,26254,Female,4
Maplewood,Technical,Full-time,63,27,38688,Male,3
Ashford,None,Full-time,64,25,18748,Male,4
Kingsley,None,Retired,31,0,11342,Female,6
Rosedale,Technical,Part-time,45,9,23130,Female,1
Rosedale,Technical,Full-time,70,46,39257,Female,5
Huntington,None,Full-time,60,3,18029,Male,5
Rosedale,Bachelors,Unemployed,33,0,18846,Male,6
Huntington,Bachelors,Full-time,36,1,73662,Other,4
Maplewood,Technical,Unemployed,34,0,11035,Female,5
Kingsley,Postgraduate,Full-time,76,2,97899,Male,3
Huntington,Technical,Retired,43,0,24638,Female,5
Maplewood,Postgraduate,Retired,23,0,49443,Female,4
Rosedale,Technical,Full-time,60,6,39789,Male,6
Rosedale,Postgraduate,Full-time,66,15,95912,Male,3
Maplewood,Bachelors,Full-time,26,2,69242,Male,3
Rosedale,Postgraduate,Retired,67,0,52541,Male,5
Maplewood,Postgraduate,Part-time,34,16,56711,Female,4
Huntington,Technical,Part-time,48,27,27866,Male,5
Huntington,Postgraduate,Full-time,29,2,96439,Female,7
Maplewood,Technical,Full-time,40,4,40613,Other,1
Huntington,Technical,Full-time,71,22,38630,Male,6
Huntington,Technical,Full-time,71,19,40375,Male,7
Huntington,Bachelors,Part-time,79,12,44103,Female,1
Ashford,Technical,Unemployed,22,0,15877,Female,3
Kingsley,Bachelors,Part-time,60,12,46318,Female,5
Rosedale,Bachelors,Full-time,53,10,69216,Male,1
Ashford,Bachelors,Unemployed,76,0,18466,Male,2
Huntington,Postgraduate,Retired,53,0,52824,Female,1
Maplewood,Bachelors,Unemployed,20,0,20124,Other,5
Huntington,Technical,Part-time,75,47,19965,Male,5
Kingsley,Technical,Full-time,41,14,41928,Female,6
Huntington,Technical,Full-time,72,16,41096,Male,1
Maplewood,None,Retired,74,0,11157,Other,5
Kingsley,Technical,Full-time,34,3,44111,Female,5
Huntington,Technical,Full-time,56,21,43120,Male,7
Kingsley,Postgraduate,Part-time,43,21,56508,Female,6
Rosedale,Bachelors,Part-time,21,2,46404,Male,7
Rosedale,Technical,Part-time,72,36,19871,Male,6
Huntington,Bachelors,Full-time,62,38,65863,Male,6
Kingsley,Technical,Full-time,29,1,38055,Male,7
Maplewood,Bachelors,Part-time,18,0,42133,Male,6
Huntington,Bachelors,Unemployed,38,0,18682,Female,2
Rosedale,Bachelors,Retired,36,0,35278,Female,3
Rosedale,Bachelors,Unemployed,38,0,21448,Male,5
Huntington,Postgraduate,Retired,69,0,45613,Female,4
Kingsley,Postgraduate,Part-time,35,0,56872,Female,6
Rosedale,Bachelors,Full-time,60,41,72723,Other,3
Kingsley,Bachelors,Part-time,69,39,44189,Female,6
Rosedale,Bachelors,Part-time,20,0,42386,Male,3
Rosedale,Technical,Part-time,78,11,25942,Male,4
Ashford,Technical,Full-time,66,1,43759,Female,1
Rosedale,None,Part-time,61,27,7244,Male,2
Maplewood,Bachelors,Full-time,49,9,65020,Male,5
Huntington,Bachelors,Part-time,27,5,45585,Male,1
Huntington,Technical,Full-time,57,16,40767,Male,7
Kingsley,Postgraduate,Retired,32,0,48515,Male,4
Rosedale,Postgraduate,Full-time,22,1,96910,Female,2
Maplewood,Bachelors,Full-time,21,2,73481,Male,2
Kingsley,Bachelors,Full-time,75,6,70882,Female,2
Ashford,Postgraduate,Part-time,45,11,63552,Female,4
Kingsley,Technical,Full-time,70,7,43076,Male,6
Kingsley,Bachelors,Full-time,69,19,66622,Male,6
Rosedale,Technical,Part-time,68,11,23314,Male,7
Ashford,Bachelors,Full-time,70,34,67453,Male,6
Kingsley,Technical,Unemployed,21,0,9015,Male,1
Maplewood,Postgraduate,Unemployed,32,0,27800,Male,5
Maplewood,Postgraduate,Part-time,34,16,64023,Female,2
Huntington,Technical,Full-time,61,27,44985,Female,7
Ashford,Bachelors,Retired,20,0,39983,Male,7
Ashford,Postgraduate,Full-time,27,8,103772,Male,2
Huntington,Bachelors,Full-time,64,9,71752,Female,1
Kingsley,Postgraduate,Full-time,59,21,102453,Female,6
Ashford,Bachelors,Unemployed,73,0,18853,Female,2
Maplewood,Technical,Full-time,40,5,37236,Female,2
Maplewood,Technical,Part-time,35,0,23176,Male,4
Rosedale,Technical,Retired,18,0,17155,Male,3
Ashford,Bachelors,Full-time,52,21,74536,Female,7
Kingsley,Technical,Full-time,70,43,40698,Male,1
Huntington,Bachelors,Unemployed,75,0,22829,Other,1
Huntington,Bachelors,Part-time,48,4,45537,Female,6
Kingsley,Bachelors,Part-time,76,12,38886,Female,1
Rosedale,Postgraduate,Full-time,61,26,101471,Male,6
Huntington,Postgraduate,Full-time,18,0,103746,Female,4
Ashford,Bachelors,Full-time,20,2,68770,Female,4
Rosedale,Postgraduate,Full-time,20,1,103391,Male,5
Ashford,Bachelors,Full-time,54,29,67940,Male,6
Maplewood,Bachelors,Retired,36,0,33490,Female,7
Rosedale,Postgraduate,Full-time,46,10,102899,Female,4
Huntington,Technical,Full-time,42,7,35306,Male,6
Rosedale,Technical,Part-time,50,18,22075,Male,7
Rosedale,Postgraduate,Retired,53,0,46656,Female,7
Rosedale,Bachelors,Full-time,78,7,72244,Female,1
Rosedale,Postgraduate,Part-time,46,6,61611,Female,5
Ashford,Postgraduate,Full-time,75,32,101322,Female,3
Maplewood,None,Full-time,43,11,17692,Male,2
Kingsley,Postgraduate,Full-time,21,0,96764,Female,2
Rosedale,Bachelors,Retired,66,0,30275,Male,5
Huntington,Bachelors,Full-time,31,11,70271,Female,6
Rosedale,Bachelors,Full-time,67,36,72331,Female,6
Huntington,Postgraduate,Full-time,44,15,104593,Male,6
Ashford,None,Retired,50,0,14967,Male,3
Huntington,Bachelors,Full-time,39,3,70025,Female,7
Kingsley,Bachelors,Full-time,65,16,69050,Male,2
Maplewood,Bachelors,Full-time,20,0,73080,Male,5
Huntington,Bachelors,Full-time,40,1,68460,Female,6
Huntington,Technical,Part-time,38,11,22835,Male,4
Maplewood,Technical,Part-time,58,32,23278,Female,1
Kingsley,Technical,Full-time,40,11,36844,Male,3
Rosedale,Postgraduate,Full-time,21,3,95071,Female,6
Huntington,Technical,Full-time,38,11,42386,Male,2
Maplewood,Technical,Full-time,54,23,41862,Male,1
Ashford,Postgraduate,Full-time,60,23,102340,Female,5
Maplewood,None,Retired,48,0,14868,Female,6
Ashford,Postgraduate,Unemployed,38,0,34487,Male,2
Kingsley,Bachelors,Unemployed,43,0,23635,Male,1
Rosedale,Postgraduate,Unemployed,58,0,26043,Female,4
Maplewood,Technical,Part-time,75,57,22042,Female,3
Huntington,None,Retired,52,0,5814,Other,5
Kingsley,Bachelors,Full-time,55,10,70622,Other,2
Maplewood,Postgraduate,Part-time,41,12,62332,Female,7
Huntington,Bachelors,Full-time,28,10,65309,Male,4
Maplewood,Technical,Full-time,58,7,41661,Female,3
Ashford,Bachelors,Retired,46,0,34227,Female,3
Maplewood,Bachelors,Full-time,64,9,66877,Male,7
Maplewood,Bachelors,Full-time,72,7,67486,Male,4
