House Number,Neighborhood,Household Income,House Size (sqf),House Market Value,Family Size,Identified Race,Swimming Pool,Ownership
52,Kingsley,98653,877,1448722,6,Other,No,Own
53,Huntington,198001,4413,1411272,3,Other,No,Own
54,Huntington,159626,2108,644428,1,Black,No,Rent
55,Ashford,209363,1447,185591,7,Black,No,Own
56,Huntington,34042,2987,1132673,4,Asian,Yes,Rent
57,Maplewood,223646,1352,279809,4,White,No,Own
58,Maplewood,67201,1081,1360282,2,Asian,No,Own
59,Maplewood,44016,2081,458734,2,Other,No,Rent
60,Rosedale,55022,2646,1128232,6,Hispanic,No,Rent
61,Rosedale,57938,3287,584331,6,Other,No,Own
62,Rosedale,204750,3593,992566,4,Hispanic,No,Own
63,Huntington,148171,4511,444750,3,White,Yes,Own
64,Rosedale,91720,4999,734198,7,White,No,Own
65,Rosedale,135514,3576,941113,1,White,No,Own
66,Ashford,217877,2396,724351,4,Black,No,Own
67,Maplewood,235395,1279,163474,3,Black,No,Rent
68,Huntington,163058,4112,784873,3,Hispanic,Yes,Rent
69,Maplewood,106478,4018,474340,4,Asian,No,Own
70,Huntington,244066,2763,1200208,3,Asian,No,Own
71,Kingsley,173233,2942,508625,5,Hispanic,No,Rent
72,Maplewood,181761,4698,1158105,3,Black,No,Own
73,Maplewood,157101,2872,648442,4,Other,No,Own
74,Huntington,124699,2095,1181458,3,Hispanic,Yes,Own
75,Kingsley,221996,1738,706776,7,Asian,No,Own
76,Kingsley,129273,1561,639989,4,Hispanic,No,Own
77,Kingsley,235380,2469,306353,2,Hispanic,No,Rent
78,Maplewood,93745,4662,845231,4,White,No,Own
79,Rosedale,162283,3485,1005710,3,Black,No,Own
80,Maplewood,161301,4699,807852,4,White,Yes,Own
81,Huntington,148972,2731,1151564,1,Black,No,Rent
82,Kingsley,209614,4739,1184495,4,Hispanic,Yes,Rent
83,Rosedale,175417,1926,807527,4,Black,Yes,Own
84,Maplewood,131489,4097,109013,1,Asian,No,Rent
85,Rosedale,61819,2003,758934,1,White,No,Own
86,Rosedale,77779,4935,1156414,1,Hispanic,Yes,Own
87,Kingsley,243493,4572,131368,6,Asian,No,Own
88,Kingsley,122244,1319,656516,5,Black,No,Own
89,Huntington,95584,3083,1395944,6,Black,No,Own
90,Ashford,181022,1282,1456817,4,Asian,No,Own
91,Maplewood,176245,3277,286845,6,Black,No,Own
92,Kingsley,88032,3893,508039,6,White,No,Own
93,Kingsley,145074,1142,778870,1,Other,Yes,Own
94,Ashford,129273,2262,229802,1,Black,No,Own
95,Kingsley,58036,2002,366579,2,Hispanic,No,Own
96,Ashford,101356,2421,157955,6,Black,Yes,Own
97,Ashford,175364,3198,421651,5,Hispanic,Yes,Rent
98,Rosedale,33052,4396,151033,4,Black,Yes,Rent
99,Maplewood,74377,4335,841449,7,Black,Yes,Own
100,Maplewood,228910,3677,1136055,7,Hispanic,No,Own
101,Maplewood,97819,3190,147219,3,White,No,Own
102,Kingsley,143689,4151,789837,5,Other,No,Rent
103,Rosedale,176692,3713,582996,5,Other,No,Own
104,Ashford,60461,1989,298300,2,White,No,Rent
105,Huntington,50750,3140,474770,4,Black,No,Own
106,Maplewood,249791,4380,273277,4,Other,No,Rent
107,Rosedale,39472,2403,1017629,1,White,Yes,Own
108,Kingsley,99263,4097,1128752,1,White,No,Rent
109,Maplewood,142036,1397,953167,5,Other,No,Own
110,Maplewood,218674,1444,466540,2,Hispanic,Yes,Rent
111,Rosedale,55523,3702,116375,4,Asian,Yes,Own
112,Maplewood,191838,1563,233783,2,Hispanic,No,Own
113,Huntington,133262,2442,371326,3,Black,No,Rent
114,Huntington,96060,3097,1089035,7,Hispanic,No,Rent
115,Kingsley,39079,2972,1292568,4,Asian,Yes,Own
116,Huntington,169471,2960,646432,1,Asian,No,Own
117,Huntington,90726,4549,220270,5,White,No,Rent
118,Maplewood,122906,3722,757925,2,Black,No,Rent
119,Huntington,46532,1379,1237485,7,White,No,Own
120,Ashford,152689,4604,1126597,7,Hispanic,No,Own
121,Huntington,243429,3168,1350208,7,Hispanic,No,Rent
122,Huntington,73162,4732,395943,1,Other,No,Own
123,Rosedale,164821,4160,559993,5,White,No,Rent
124,Maplewood,41353,1900,134510,1,White,Yes,Rent
125,Maplewood,142313,2470,187919,4,White,No,Rent
126,Rosedale,58477,3020,1261619,2,White,No,Rent
127,Huntington,185642,1016,832726,3,Asian,Yes,Rent
128,Huntington,116373,1175,522191,6,Other,No,Rent
129,Maplewood,172509,2409,415386,7,Black,No,Rent
130,Ashford,199176,4906,1195122,1,Black,Yes,Own
131,Rosedale,224442,4639,580265,6,Black,No,Own
132,Maplewood,34551,3739,891329,2,Asian,No,Own
133,Maplewood,98359,4862,231235,4,Other,No,Rent
134,Rosedale,215952,2413,1381262,1,Other,No,Own
135,Huntington,173988,4479,414684,4,Asian,No,Own
136,Rosedale,156150,2096,576131,3,White,No,Own
137,Ashford,241775,4796,344367,7,Hispanic,No,Rent
138,Kingsley,202517,1955,916462,3,White,No,Rent
139,Rosedale,77636,3166,1203889,7,Black,No,Rent
140,Huntington,234999,3691,129870,5,White,No,Own
141,Huntington,239266,2772,1002997,5,Asian,No,Own
142,Rosedale,59685,1584,1273279,5,Black,No,Own
143,Ashford,81134,1881,419399,4,Hispanic,No,Own
144,Rosedale,118916,2833,978839,5,Black,No,Own
145,Rosedale,137967,2414,558146,2,White,No,Own
146,Maplewood,124455,3216,1043883,6,Other,Yes,Own
147,Kingsley,228919,4453,385818,6,Other,No,Own
148,Ashford,201065,1296,1140210,4,Other,No,Own
149,Maplewood,205405,1304,402570,4,Black,No,Own
150,Rosedale,219937,4186,1198160,5,Other,No,Own
151,Huntington,240168,3008,697539,7,Asian,Yes,Own
152,Maplewood,79756,4016,169353,6,Hispanic,No,Own
153,Maplewood,152863,4466,1231566,6,Other,No,Own
154,Ashford,91192,2208,780050,5,Asian,No,Own
155,Huntington,221758,4877,395906,4,Asian,Yes,Rent
156,Maplewood,78733,2277,792859,3,Black,Yes,Own
157,Kingsley,55993,3197,581204,7,Black,No,Own
158,Kingsley,191564,909,1366335,3,Hispanic,No,Rent
159,Maplewood,182053,4354,1243716,5,Hispanic,Yes,Own
160,Kingsley,54143,1449,970506,3,White,Yes,Own
161,Rosedale,238675,2299,1165591,2,Hispanic,No,Own
162,Kingsley,221349,1395,1082630,2,Black,No,Own
163,Kingsley,137044,1778,1198425,2,Asian,Yes,Own
164,Ashford,211062,1530,1164428,4,White,No,Own
165,Maplewood,158406,856,679649,4,Hispanic,No,Rent
166,Huntington,223960,3043,776618,4,Asian,No,Own
167,Rosedale,99351,2501,1059012,4,Black,No,Rent
168,Maplewood,211071,2086,564944,4,Other,No,Rent
169,Maplewood,100309,911,1175986,5,White,No,Rent
170,Ashford,173518,2001,885334,3,Asian,No,Rent
171,Kingsley,191805,1747,1351590,5,Black,No,Own
172,Maplewood,149156,4921,658212,3,Black,No,Rent
173,Ashford,106000,1557,999054,5,White,No,Own
174,Maplewood,209704,4188,957263,2,White,No,Rent
175,Kingsley,51576,2641,505480,1,Hispanic,No,Own
176,Maplewood,33320,4335,390182,4,Hispanic,No,Own
177,Kingsley,171822,3093,335530,1,White,No,Rent
178,Rosedale,133002,1904,371280,1,White,No,Own
179,Huntington,214535,1461,1423933,2,Asian,Yes,Own
180,Maplewood,56572,1708,1357256,1,Hispanic,Yes,Own
181,Rosedale,47948,2656,1257122,1,Black,No,Rent
182,Maplewood,146528,3111,651719,2,Hispanic,No,Own
183,Huntington,199898,1589,1190866,3,Hispanic,No,Own
184,Huntington,119051,971,1085043,5,White,No,Rent
185,Rosedale,57867,2786,578751,6,White,No,Own
186,Kingsley,221303,2685,230374,1,Hispanic,No,Own
187,Huntington,227334,1275,1191323,4,Other,No,Rent
188,Ashford,233305,1849,824568,2,Other,Yes,Own
189,Ashford,74678,4929,753420,7,Hispanic,Yes,Own
190,Maplewood,137561,3111,1483714,7,Other,Yes,Own
191,Maplewood,42963,1961,839435,1,Hispanic,No,Own
192,Huntington,225432,1615,770247,6,White,No,Own
193,Huntington,79434,4566,624339,3,White,No,Own
194,Kingsley,96617,3722,1365219,3,White,No,Own
195,Rosedale,181341,1553,1401692,6,Black,No,Own
196,Rosedale,147569,1261,390635,4,White,No,Own
197,Kingsley,237384,4039,659168,1,White,No,Rent
198,Huntington,127352,3502,1339613,4,Hispanic,Yes,Rent
199,Huntington,109732,880,473200,3,Other,Yes,Own
200,Kingsley,137648,3604,1195937,7,Other,No,Own
201,Kingsley,111494,1669,449829,3,White,Yes,Rent
202,Maplewood,249977,1606,1243417,5,White,No,Own
203,Maplewood,107225,2734,1088660,3,White,No,Rent
204,Huntington,112867,1503,615750,2,Hispanic,No,Own
205,Kingsley,198600,3323,1386479,5,Hispanic,No,Rent
206,Maplewood,108972,3439,751006,4,Hispanic,No,Own
207,Maplewood,226674,4709,206379,3,Other,No,Own
208,Kingsley,126261,1964,937160,6,Black,Yes,Rent
209,Maplewood,120748,1419,764051,2,Other,No,Rent
210,Maplewood,194404,3866,109756,5,Hispanic,No,Own
211,Ashford,154481,1246,747958,2,Asian,No,Rent
212,Kingsley,159529,3137,1212655,5,Black,No,Own
213,Kingsley,240001,1008,1046024,5,White,Yes,Own
214,Maplewood,230278,3260,1322956,5,Other,No,Own
215,Kingsley,32251,4242,1254137,6,Black,No,Own
216,Maplewood,206789,3511,456580,4,Asian,No,Rent
217,Rosedale,129108,3137,116533,5,Black,No,Own
218,Kingsley,188099,2091,621970,5,Other,No,Own
219,Kingsley,127382,2998,197417,2,Hispanic,Yes,Own
220,Huntington,247623,2200,822520,5,White,No,Own
221,Kingsley,39583,3455,1189005,4,Hispanic,Yes,Own
222,Ashford,80387,4812,448492,7,Hispanic,No,Own
223,Maplewood,53104,1504,959497,6,Other,No,Rent
224,Rosedale,42224,1625,979828,6,Hispanic,No,Own
225,Rosedale,90624,1804,637942,2,Hispanic,No,Own
226,Maplewood,217130,4260,431627,7,Other,No,Own
227,Huntington,134320,1176,244444,5,Other,Yes,Own
228,Rosedale,190371,1772,530898,2,Asian,Yes,Own
229,Huntington,108572,3876,991403,6,Hispanic,Yes,Own
230,Kingsley,115469,1243,1177871,4,Black,No,Own
231,Kingsley,107928,1554,559329,2,White,Yes,Rent
232,Ashford,234546,4404,1491285,4,White,No,Own
233,Ashford,34141,2971,149574,7,Other,No,Rent
234,Ashford,184422,3505,463211,7,Other,No,Own
235,Maplewood,236154,4265,1344582,3,Asian,No,Own
236,Kingsley,100871,3511,1178642,5,Hispanic,No,Own
237,Rosedale,166149,3207,314221,4,Other,No,Own
238,Maplewood,76015,1422,240017,5,Other,No,Own
239,Kingsley,232219,2523,129418,7,White,No,Rent
240,Maplewood,220252,4122,1231183,4,Hispanic,No,Own
241,Huntington,201929,2719,674162,1,Asian,No,Own
242,Huntington,220912,1718,998590,7,Other,No,Own
243,Huntington,89902,1381,230538,1,Other,No,Own
244,Rosedale,35577,4681,313699,1,Other,Yes,Own
245,Maplewood,50002,2486,1361041,7,White,Yes,Rent
246,Huntington,80711,4709,534610,4,Other,Yes,Own
247,Rosedale,69451,2799,604588,6,Other,No,Rent
248,Huntington,210175,3511,673923,6,White,No,Own
249,Huntington,189719,1200,357470,5,Other,No,Own
250,Huntington,64831,4448,461981,1,Hispanic,No,Own
251,Rosedale,126498,3428,1361737,5,Hispanic,Yes,Own
252,Rosedale,158949,2456,379548,4,White,No,Own
253,Huntington,125119,1420,1161732,5,Hispanic,No,Own
254,Rosedale,96830,1046,548834,5,Asian,No,Own
255,Maplewood,110632,4139,149999,1,Other,No,Rent
256,Ashford,66833,3810,507001,7,Asian,No,Own
257,Huntington,54398,3168,279431,6,Hispanic,Yes,Rent
258,Kingsley,91554,4794,584023,2,White,No,Own
259,Ashford,80755,2639,1425414,3,White,No,Rent
260,Maplewood,178778,3703,1053618,4,Asian,No,Own
261,Kingsley,183412,4491,1336878,4,Hispanic,No,Own
262,Huntington,94994,4641,132799,4,Other,No,Rent
263,Maplewood,93884,2192,242228,3,Hispanic,No,Own
264,Ashford,114361,4550,402789,2,Hispanic,No,Own
265,Huntington,47482,3808,794298,6,White,No,Own
266,Kingsley,84225,4138,550198,5,Black,No,Own
267,Kingsley,219921,4314,439758,6,Other,No,Rent
268,Kingsley,104854,1559,1371262,4,Other,Yes,Rent
269,Rosedale,71256,3568,1281963,5,White,No,Rent
270,Rosedale,138721,3888,1376915,1,Hispanic,No,Rent
271,Huntington,111110,2915,984801,6,White,No,Own
272,Huntington,143606,2523,112420,1,Hispanic,No,Own
273,Huntington,44650,3766,380456,1,Black,No,Rent
274,Huntington,207190,1229,907827,7,Black,No,Own
275,Ashford,58930,3155,402445,6,Asian,No,Own
276,Ashford,246779,3259,1400561,4,Hispanic,No,Own
277,Kingsley,130400,4992,146972,3,White,No,Rent
278,Kingsley,41801,2518,1229429,4,White,No,Own
279,Kingsley,81360,2065,744423,1,White,No,Rent
280,Kingsley,117908,2108,182504,1,Asian,No,Own
281,Huntington,177631,1850,909286,4,Other,No,Own
282,Rosedale,62334,4273,1269949,3,White,Yes,Rent
283,Rosedale,43288,3049,432924,3,Black,No,Rent
284,Maplewood,183470,3609,468602,7,White,No,Own
285,Ashford,237302,3721,609652,5,White,No,Own
286,Maplewood,42191,4841,1474340,2,White,No,Own
287,Ashford,48051,3217,931022,1,Other,Yes,Rent
288,Ashford,91715,1332,696842,3,White,No,Own
289,Rosedale,40737,1698,503837,6,Other,No,Own
290,Ashford,95140,3454,217781,7,Other,No,Rent
291,Maplewood,186323,2269,625261,1,Asian,No,Own
292,Maplewood,212047,3720,1388786,2,Black,No,Own
293,Huntington,35147,2052,945218,6,White,No,Rent
294,Rosedale,80508,1569,1253495,1,White,No,Rent
295,Maplewood,82224,1633,1185673,7,White,No,Rent
296,Ashford,49643,3009,221403,7,Other,No,Own
297,Kingsley,68967,4224,649634,3,Hispanic,No,Rent
298,Maplewood,133535,1891,729921,5,Black,No,Rent
299,Kingsley,70733,1996,1238993,4,White,Yes,Own
300,Maplewood,245075,4714,542369,7,Hispanic,No,Own
301,Maplewood,64808,2460,1107886,6,Hispanic,No,Own
302,Ashford,228360,1060,1144900,4,Hispanic,No,Rent
303,Ashford,88959,3064,991579,3,Black,Yes,Rent
304,Kingsley,162921,1985,1278593,3,Hispanic,No,Rent
305,Kingsley,98178,3249,943487,6,White,No,Own
306,Huntington,228208,4333,1290579,2,White,No,Own
307,Ashford,221812,4144,709122,7,Asian,No,Own
308,Rosedale,142255,1666,1039044,6,Other,No,Rent
309,Kingsley,116322,892,852936,1,Hispanic,No,Own
310,Rosedale,74565,3978,146904,2,Other,Yes,Own
311,Rosedale,181255,2151,1200896,4,Other,No,Own
312,Maplewood,31132,1164,1441720,1,Other,Yes,Own
313,Maplewood,199331,4518,1243917,2,Other,No,Own
314,Huntington,93668,2724,882884,4,Other,No,Rent
315,Huntington,199635,3895,889031,1,White,No,Own
316,Kingsley,138835,3338,1498356,5,Black,Yes,Own
317,Rosedale,172003,2096,840079,7,Hispanic,No,Own
318,Maplewood,103169,3076,811525,6,Hispanic,Yes,Own
319,Maplewood,211711,802,1338503,6,White,No,Rent
320,Rosedale,219973,4292,1383425,6,White,No,Own
321,Ashford,130417,2553,624306,5,Other,No,Own
322,Kingsley,31044,1710,231930,7,Black,Yes,Rent
323,Kingsley,207763,1106,433060,2,Hispanic,No,Own
324,Rosedale,54363,4815,683058,7,Asian,Yes,Rent
325,Huntington,76694,2238,1364099,3,White,No,Own
326,Kingsley,162654,1672,1385423,1,Asian,No,Own
327,Ashford,240982,1941,923919,2,Hispanic,No,Own
328,Kingsley,227916,1465,244015,3,White,No,Own
329,Rosedale,51301,1008,596383,6,Hispanic,No,Rent
330,Maplewood,104329,1751,202342,6,White,No,Rent
331,Rosedale,31620,1857,685745,6,Hispanic,No,Own
332,Kingsley,92224,4808,1429556,3,Asian,No,Own
333,Maplewood,217727,2668,897826,1,Black,No,Rent
334,Maplewood,125419,1571,1482878,1,White,No,Own
335,Maplewood,198606,4830,617912,3,Asian,No,Own
336,Maplewood,150050,1321,486804,4,Hispanic,No,Own
337,Huntington,200462,4155,734887,6,Asian,No,Own
338,Kingsley,232701,2200,224221,2,White,No,Own
339,Ashford,85856,4538,1397798,1,Asian,No,Own
340,Maplewood,210324,4523,1225894,7,Hispanic,No,Own
341,Ashford,85809,4047,1480882,3,Other,No,Rent
342,Ashford,52259,2658,1119530,4,Black,Yes,Own
343,Maplewood,50655,4864,1094670,5,Black,No,Own
344,Rosedale,194077,3198,414856,3,Other,Yes,Own
345,Rosedale,192701,942,885072,7,White,Yes,Rent
346,Kingsley,184682,3651,614021,4,Asian,No,Own
347,Kingsley,218256,4269,934673,5,Asian,Yes,Own
348,Maplewood,51602,4495,647521,4,Other,No,Rent
349,Rosedale,115945,1517,266083,1,Other,No,Own
350,Kingsley,172182,1442,894609,3,Hispanic,No,Own
351,Ashford,167145,4240,623099,7,Hispanic,No,Rent
352,Huntington,130846,3348,1314176,5,Black,No,Own
353,Kingsley,110818,4493,738794,4,White,Yes,Own
354,Maplewood,171267,1169,859106,5,White,No,Own
355,Maplewood,31537,4450,685639,2,Other,No,Rent
356,Kingsley,178210,1586,978340,7,Black,No,Own
357,Maplewood,205400,1749,676115,3,Black,No,Rent
358,Ashford,207274,1321,168772,1,Hispanic,No,Rent
359,Huntington,201236,3743,639899,5,Asian,No,Own
360,Ashford,156545,1154,253354,6,White,No,Rent
361,Rosedale,119743,3135,927435,4,Black,No,Own
362,Kingsley,215731,2282,836725,6,Hispanic,No,Own
363,Ashford,116155,2447,242412,5,Hispanic,No,Own
364,Ashford,210764,3845,458773,7,Hispanic,No,Own
365,Huntington,150198,3015,1497363,6,Asian,No,Own
366,Rosedale,185917,1227,1231611,4,Black,No,Own
367,Huntington,119846,3337,904597,5,Other,No,Own
368,Huntington,60562,1344,1203091,1,Other,No,Own
369,Maplewood,58036,3564,209446,1,Hispanic,No,Rent
370,Maplewood,221824,4565,159789,3,Hispanic,No,Own
371,Maplewood,104233,1458,807262,1,Asian,Yes,Rent
372,Maplewood,113049,3627,132191,5,Hispanic,No,Rent
373,Maplewood,98681,2858,683776,7,Black,No,Own
374,Kingsley,57818,4127,1315692,5,Hispanic,No,Own
375,Maplewood,191616,1530,804960,1,Hispanic,No,Own
376,Rosedale,92532,2632,973889,2,Black,Yes,Rent
377,Huntington,239708,1208,988908,5,White,No,Own
378,Maplewood,87705,4979,604703,3,Other,Yes,Own
379,Huntington,50104,4047,1030340,2,Hispanic,Yes,Own
380,Rosedale,154336,933,638028,1,Black,No,Own
381,Maplewood,157904,1466,311965,7,Other,No,Own
382,Kingsley,99603,1076,1262493,4,Asian,No,Own
383,Kingsley,132499,4107,1047759,5,White,No,Own
384,Huntington,89025,1681,649509,4,Hispanic,Yes,Rent
385,Kingsley,62317,2860,163265,6,White,No,Rent
386,Huntington,192488,2882,625007,3,Hispanic,No,Own
387,Rosedale,203084,2037,314514,2,Hispanic,No,Rent
388,Maplewood,135585,3252,232141,4,Hispanic,No,Rent
389,Kingsley,229117,958,679002,3,White,No,Own
390,Huntington,182472,3396,1221861,4,Asian,No,Own
391,Huntington,78270,4615,375079,4,Black,No,Rent
392,Rosedale,233141,3326,1005794,3,Black,No,Own
393,Rosedale,149415,910,668323,5,Asian,No,Rent
394,Kingsley,210905,1341,488831,4,Asian,Yes,Own
395,Rosedale,224716,1938,521153,3,Hispanic,No,Own
396,Huntington,110206,4083,380684,4,Hispanic,No,Own
397,Huntington,99468,4410,935134,7,Black,No,Own
398,Rosedale,220545,4357,1226859,5,Hispanic,No,Own
399,Kingsley,206881,3219,831401,7,Hispanic,No,Own
400,Kingsley,199400,2556,1054411,7,Asian,No,Own
401,Maplewood,197856,3886,246293,3,White,No,Own
402,Huntington,53723,3106,1465501,7,Other,No,Own
403,Ashford,90646,1775,631375,4,Other,No,Rent
404,Huntington,227327,1522,1433509,1,Hispanic,No,Own
405,Rosedale,30074,3370,526616,5,Hispanic,No,Rent
406,Huntington,56498,1124,1326964,4,Other,No,Rent
407,Rosedale,226594,2329,215310,2,Asian,Yes,Own
408,Maplewood,126881,2745,247816,3,Other,No,Own
409,Huntington,181613,3230,569311,4,Other,No,Rent
410,Maplewood,75929,4911,286589,5,Other,No,Rent
411,Rosedale,153199,4310,198231,7,Hispanic,No,Own
412,Huntington,56028,1645,804225,5,Hispanic,No,Rent
413,Huntington,59545,1367,567153,2,Other,No,Own
414,Ashford,109569,4488,832555,7,Hispanic,No,Own
415,Kingsley,61673,2979,600642,2,Other,No,Own
416,Rosedale,192046,2819,638182,6,Asian,No,Own
417,Rosedale,219971,4119,1463815,6,Hispanic,No,Rent
418,Rosedale,184169,3120,653560,4,White,No,Rent
419,Kingsley,132511,2446,321120,1,Hispanic,Yes,Own
420,Kingsley,123144,4803,1182221,7,Asian,Yes,Own
421,Kingsley,94824,4709,121179,5,Asian,No,Own
422,Kingsley,53525,4220,634979,1,Hispanic,No,Own
423,Maplewood,87804,3331,753724,7,Black,Yes,Own
424,Ashford,176115,1156,1408581,7,Other,No,Own
425,Maplewood,71846,3881,1361294,7,Other,No,Own
426,Ashford,107261,3080,1380475,7,Asian,No,Own
427,Rosedale,211299,4931,407455,1,Hispanic,No,Rent
428,Huntington,214100,3260,1318686,4,Black,No,Rent
429,Rosedale,198455,3587,911399,3,White,Yes,Own
430,Maplewood,59483,1997,652766,3,Other,Yes,Own
431,Maplewood,37265,2078,1088128,3,Black,Yes,Own
432,Kingsley,52763,1265,402476,2,Other,No,Own
433,Kingsley,236724,4800,1024570,7,Hispanic,No,Rent
434,Maplewood,45733,4148,145900,7,Other,No,Own
435,Maplewood,142196,2287,321141,5,White,No,Own
436,Kingsley,121038,1125,226861,2,Hispanic,No,Own
437,Maplewood,67420,2565,665386,5,Asian,No,Rent
438,Huntington,170319,4962,632582,6,Black,No,Own
439,Kingsley,184912,1103,817940,5,Other,No,Own
440,Maplewood,226221,2240,269173,5,Hispanic,No,Rent
441,Maplewood,51058,948,1304707,4,Hispanic,No,Own
442,Huntington,64929,3834,927058,3,Other,No,Own
443,Rosedale,245243,3431,644991,7,Asian,No,Own
444,Rosedale,192434,895,990125,2,Other,Yes,Rent
445,Huntington,116489,4255,554633,6,Asian,No,Rent
446,Huntington,114664,3169,814588,2,Other,No,Own
447,Huntington,208428,4267,635916,7,Hispanic,Yes,Own
448,Kingsley,107597,1328,727943,4,White,Yes,Own
449,Rosedale,36041,3110,1349737,5,White,No,Own
450,Maplewood,108209,2463,368662,6,Hispanic,No,Own
451,Kingsley,223026,4164,269563,3,White,No,Own
452,Ashford,222941,3141,1287594,7,Asian,No,Own
453,Rosedale,182131,1492,563054,1,Hispanic,Yes,Rent
454,Huntington,129864,1751,396455,1,Asian,No,Own
455,Maplewood,205794,2160,1274995,4,Hispanic,No,Own
456,Ashford,178620,1338,330842,3,Asian,No,Own
457,Maplewood,176150,1619,335612,1,Asian,No,Own
458,Ashford,166491,3962,343095,1,White,No,Own
459,Maplewood,196562,4725,936765,7,Hispanic,No,Own
460,Maplewood,237158,1071,806658,6,Other,No,Rent
461,Maplewood,145158,1828,446336,6,White,Yes,Rent
462,Kingsley,219832,4465,666099,7,Asian,No,Own
463,Kingsley,191409,2042,694360,2,Asian,Yes,Own
464,Ashford,31468,1941,739695,7,Other,No,Own
465,Huntington,54309,1392,350440,3,Other,No,Rent
466,Rosedale,227416,2405,1191550,1,Asian,No,Own
467,Rosedale,102255,4177,775216,6,Other,No,Own
468,Huntington,111899,4871,1062334,7,Black,No,Rent
469,Maplewood,58718,4494,1456543,6,White,No,Rent
470,Huntington,198913,3150,461007,6,Hispanic,No,Rent
471,Maplewood,234620,2240,986469,2,Other,No,Rent
472,Huntington,244637,4426,1365462,3,Other,No,Own
473,Maplewood,207732,2682,1215654,5,Black,No,Rent
474,Huntington,136553,4511,994199,6,Hispanic,No,Own
475,Ashford,80281,984,692239,3,Black,No,Rent
476,Huntington,143451,1020,995719,4,Hispanic,No,Own
477,Maplewood,30767,3988,243977,2,White,No,Own
478,Ashford,164967,1893,1252267,5,Other,No,Own
479,Huntington,88026,3745,318171,6,White,No,Own
480,Ashford,148142,3274,1351827,7,Hispanic,No,Own
481,Kingsley,72968,3415,672723,6,Other,No,Own
482,Kingsley,201169,2812,373390,2,Black,No,Own
483,Ashford,176404,3290,364602,2,Asian,No,Own
484,Kingsley,175693,1400,1338155,1,Black,No,Own
485,Ashford,106870,1960,1154604,6,Asian,Yes,Own
486,Huntington,48174,3535,1383399,3,Black,No,Own
487,Maplewood,154357,3018,1267823,2,Hispanic,Yes,Rent
488,Rosedale,129189,1952,414045,2,White,No,Own
489,Huntington,70502,856,331324,4,Asian,Yes,Own
490,Huntington,66674,2004,761666,4,Hispanic,Yes,Own
